villageCode,villageNameEnglish,villageNameLocal,villageCensus2011Code,subdistrictCode,subdistrictNameEnglish,subdistrictNameLocal,subdistrictCensus2011Code,districtCode,districtNameEnglish,districtNameLocal,districtCensus2011Code,stateCode,stateNameEnglish,stateNameLocal,stateCensus2011Code,data_gov_update_date
579858,Siddinenigudem,సిద్దినేనిగూడెం,579858,4766,Madhira,మధిర,04766,509,Khammam,ఖమ్మం,541,36,Telangana,తెలంగాణ,00,28-12-2025
572997,Siddipet (Ct),సిద్దిపేట్ (CT),572997,4459,Siddipet Urban,సిద్దిపేట (అర్బన్),04459,513,Siddipet,సిద్దిపేట,000,36,Telangana,తెలంగాణ,00,28-12-2025
570893,Sikindrapur,సికింద్రాపూర్,570893,4366,Jakranpally,జక్రాన్ పల్లి,04366,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
569090,Singapur,సింగాపూర్,569090,4308,Bela,బేల,04308,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
909465,Singapur,సింగాపూర్,000000,6226,Naspur,నస్పూరు,00000,684,Mancherial,మంచిర్యాల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
570615,Singapur (Ct),సింగాపూర్ (CT),570615,4354,Mancherial,మంచిర్యాల్,04354,684,Mancherial,మంచిర్యాల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
570032,Singaraipet,సింగరాయిపేట్,570032,4334,Jannaram,జన్నారం,04334,684,Mancherial,మంచిర్యాల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
569508,Singaraopet,సింగారావ్ పేట్,569508,4319,Asifabad,ఆసిఫాబాద్,04319,699,Kumuram Bheem Asifabad,కుమురం భీమ్ ఆసిఫాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
573621,Singatam,సింగాటం,573621,4483,Gajwel,గజ్వెల్,04483,692,Siddipet,సిద్దిపేట,000,36,Telangana,తెలంగాణ,00,28-12-2025
576447,Singavaram,శింగావర్,576447,4612,Alampur,ఆలంపూర్,04612,695,Jogulamba Gadwal,జోగులాంబ గద్వాల,000,36,Telangana,తెలంగాణ,00,28-12-2025
578830,Singireddypalli,సింగిరెడ్డిపల్లి,578830,4725,Pinapaka,పినపాక,04725,690,Bhadradri Kothagudem,భద్రాద్రి కొత్తగూడెం,000,36,Telangana,తెలంగాణ,00,28-12-2025
570186,Sirala,సిరాల,570186,4339,Bhainsa,భైంసా,04339,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
571600,Siribibipet,శేరి బీబీపేట్,571600,4392,Domakonda,దోమకొండ,04392,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
571707,Sirikonda,సిరికొండ,571707,6213,Buggaram,బుగ్గారం,00000,681,Jagitial,జగిత్యాల,000,36,Telangana,తెలంగాణ,00,28-12-2025
569605,Sirikonda,సిరికొండ,569605,6224,Sirikonda,సిరికొండ,00000,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
571789,Siripuram,సిరిపురం,571789,4401,Manthani,మంథని,04401,682,Peddapalli,పెద్దపల్లి,000,36,Telangana,తెలంగాణ,00,28-12-2025
576844,Siripuram,సిరిపురం,576844,4632,Ramannapet,రామన్నపేట,04632,697,Yadadri Bhuvanagiri,యదాద్రి భువనగిరి,000,36,Telangana,తెలంగాణ,00,28-12-2025
571705,Sirivanchakota,సిరివంచకోట,571705,6213,Buggaram,బుగ్గారం,00000,681,Jagitial,జగిత్యాల,000,36,Telangana,తెలంగాణ,00,28-12-2025
572139,Sirkonda,సిరికొండ,572139,4418,Kathlapur,కథలాపూర్,04418,681,Jagitial,జగిత్యాల,000,36,Telangana,తెలంగాణ,00,28-12-2025
571632,Sirpur,సిరిపూర్,571632,4394,Mallapur,మల్లాపూర్,04394,681,Jagitial,జగిత్యాల,000,36,Telangana,తెలంగాణ,00,28-12-2025
570733,Sirpur,సిర్ పూర్,570733,7530,Donkeshwar,Donkeshwar,00000,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
571056,Sirpur,సిర్ పూర్,571056,7525,Dongli,Dongli,00000,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
573785,Sirpuram,సిరిపురం,573785,4489,Hathnoora,హత్నూర,04489,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
571130,Sirsamundar,సిర్ సముందర్,571130,4374,Bichkunda,బిచ్కుంద,04374,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
569089,Sirsanna,సిర్సన్న,569089,4308,Bela,బేల,04308,501,Adilabad,ఆదిలాబాద్,532,36,Telangana,తెలంగాణ,00,28-12-2025
572644,Sirsapalle,సిర్సపల్లి,572644,4446,Huzurabad,హుజురాబాద్,04446,508,Karimnagar,కరీంనగర్,534,36,Telangana,తెలంగాణ,00,28-12-2025
572558,Sirsed,సిరి సేడు,572558,6234,Ellandakunta,ఇల్లంతకుంట,00000,508,Karimnagar,కరీంనగర్,534,36,Telangana,తెలంగాణ,00,28-12-2025
573051,Sirsingandla,సిరిసినగండ్ల,573051,4462,Kondapak,కొండపాక,04462,692,Siddipet,సిద్దిపేట,000,36,Telangana,తెలంగాణ,00,28-12-2025
569526,Siryan Mowad,సిర్యాన మొవడ,569526,4319,Asifabad,ఆసిఫాబాద్,04319,699,Kumuram Bheem Asifabad,కుమురం భీమ్ ఆసిఫాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
571596,Sitarampalle,సీతారాం పల్లి,571596,4392,Domakonda,దోమకొండ,04392,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
572946,Sivaipalle,శివాయపల్లి,572946,4457,Ramayampet,రామాయంపేట,04457,513,Medak,మెదక్,535,36,Telangana,తెలంగాణ,00,28-12-2025
573021,Sivampalle,శివునిపల్లి,573021,4460,Chinnakodur,చిన్నకోడూర్,04460,692,Siddipet,సిద్దిపేట,000,36,Telangana,తెలంగాణ,00,28-12-2025
573913,Sivanagar,శివానగర్,573913,4493,Jinnaram,జిన్నారం,04493,691,Sangareddy,సంగారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
572378,Sivangalapalle,సివంగాల పల్లి,572378,4431,Konaraopet,కోనరావు పేట,04431,683,Rajanna Sircilla,రాజన్న సిరిసిల్ల,000,36,Telangana,తెలంగాణ,00,28-12-2025
573660,Sivar Venkatapur,శివారు వెంకటాపూర్,573660,6282,Markook,మర్కుక్,00000,692,Siddipet,సిద్దిపేట,000,36,Telangana,తెలంగాణ,00,28-12-2025
578943,S.Kothagudem,యస్.కొత్తగూడెం,578943,4729,Dummugudem,దుమ్ముగూడెం,04729,690,Bhadradri Kothagudem,భద్రాద్రి కొత్తగూడెం,000,36,Telangana,తెలంగాణ,00,28-12-2025
570371,Soan,సోన్,570371,6209,Soan,సోన్,00000,680,Nirmal,నిర్మల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
570807,Soanpet (Ct),సోన్ పెట్,570807,6237,Mendora,మెండొర,00000,516,Nizamabad,నిజామాబాదు,533,36,Telangana,తెలంగాణ,00,28-12-2025
577714,Sodashapalli,సోడశపల్లె,577714,6252,Velair,వేలేరు,00000,686,Hanumakonda,హనుమకొండ,000,36,Telangana,తెలంగాణ,00,28-12-2025
574703,Solipet,సోలిపేట్,574703,4542,Shabad,షాబాద్,04542,518,Ranga Reddy,రంగా రెడ్డి,537,36,Telangana,తెలంగాణ,00,28-12-2025
577673,Solipuram,సోలిపురం,577673,6257,Tharigoppula,తరిగొప్పుల,00000,689,Jangoan,జనగాం,000,36,Telangana,తెలంగాణ,00,28-12-2025
574683,Somangurthy,సోమన్ గూర్తి,574683,4541,Pudur,పూడూర్(M),04541,698,Vikarabad,వికారాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
578531,Somaram,సోమారం,578531,4715,Thorrur,తొర్రూర్,04715,688,Mahabubabad,మహబుబాబాద్,000,36,Telangana,తెలంగాణ,00,28-12-2025
571114,Sopur,సోపూర్,571114,4373,Jukkal,జుక్కల్,04373,685,Kamareddy,కామారెడ్డి,000,36,Telangana,తెలంగాణ,00,28-12-2025
576057,Srinivaspur,శ్రీనివాసపురం,576057,4595,Wanaparthy,వనపర్తి,04595,693,Wanaparthy,వనపర్తి,000,36,Telangana,తెలంగాణ,00,28-12-2025
576200,Srirangapur,శ్రీ రంగాపూర్,576200,6288,Srirangapur,శ్రీ రంగాపూర్,00000,693,Wanaparthy,వనపర్తి,000,36,Telangana,తెలంగాణ,00,28-12-2025
574775,Subhanpur,సుభాన్ పూర్,574775,4544,Maheshwaram,మహేశ్వరం,04544,518,Ranga Reddy,రంగా రెడ్డి,537,36,Telangana,తెలంగాణ,00,28-12-2025
579617,Sublaidu,సుబ్లేడు,579617,4754,Tirumalayapalem,తిరుమలాయపాలెం,04754,509,Khammam,ఖమ్మం,541,36,Telangana,తెలంగాణ,00,28-12-2025
570664,Suddal,సుద్దాల,570664,4356,Chennur,చెన్నూర్,04356,684,Mancherial,మంచిర్యాల్,000,36,Telangana,తెలంగాణ,00,28-12-2025
